Issue Type;Issue key;Issue id;Parent id;Summary;Assignee;Reporter;Priority;Status;Resolution;Created;Updated;Original Estimate;Remaining Estimate;Sprint;Sprint;Sprint;Sprint;Sprint;Sprint;Sprint;Sprint;Sprint
Story;EMAP-505;146240;;"As a user I would like to be able to define report ""tags""";pastorim;battacar;Critical;In Progress;;13/07/2017 16:32;02/Aug/17 12:43 PM;43200;0;EMAP Sprint 35;;;;;;;;
Bug;EMAP-459;140282;;The sfa verification in order to check if the request access button should be visible could not be right in all cases;;olivada;Critical;To Do;;09/06/2017 16:30;02/Aug/17 11:59 AM;7200;0;EMAP Sprint 31;EMAP Sprint 32;EMAP Sprint 33;EMAP Sprint 34;EMAP Sprint 35;;;;
Story;EMAP-447;139603;;As user I would like to see disabled the buttons when a action is performed.;mazzola;olivada;Critical;In Progress;;07/06/2017 17:39;31/07/2017 17:47;10800;10800;EMAP Sprint 31;EMAP Sprint 32;EMAP Sprint 33;EMAP Sprint 34;EMAP Sprint 35;;;;
Bug;EMAP-529;148439;;The application is not open reports (security issue);olivada;olivada;Critical;In Review;;25/07/2017 17:08;27/07/2017 15:51;7200;0;EMAP Sprint 35;;;;;;;;
Task;EMAP-537;148824;;As a user I would like to be able to write into the Region Filter ;;battacar;Critical;To Do;;27/07/2017 09:19;27/07/2017 09:20;;;EMAP Sprint 36;;;;;;;;
Bug;EMAP-534;148814;;As a user when I have a diferent zoom the cards has a scroll, and there are some of the cards all grey;;battacar;Critical;To Do;;27/07/2017 09:13;27/07/2017 09:13;;;EMAP Sprint 36;;;;;;;;
Epic;EMAP-477;141992;;To Production;;battacar;Critical;To Do;;16/06/2017 17:09;26/07/2017 14:51;10800;10800;EMAP Sprint 30;EMAP Sprint 31;EMAP Sprint 32;EMAP Sprint 33;EMAP Sprint 34;EMAP Sprint 35;;;
Story;EMAP-532;148683;;As developer I would like a new column in log table;;olivada;Critical;To Do;;26/07/2017 14:51;26/07/2017 14:51;;;EMAP Sprint 36;;;;;;;;
Task;EMAP-348;134909;;Bulk Upload _ AP;pastorim;battacar;Critical;In Progress;;18/05/2017 13:54;26/07/2017 13:04;3600;0;EMAP Sprint 30;EMAP Sprint 32;EMAP Sprint 33;EMAP Sprint 34;EMAP Sprint 35;;;;
Task;EMAP-356;135261;;Bulk _upload CE360;pastorim;battacar;Critical;In Progress;;19/05/2017 17:44;26/07/2017 13:03;3600;0;EMAP Sprint 30;EMAP Sprint 32;EMAP Sprint 33;EMAP Sprint 34;EMAP Sprint 35;;;;
Task;EMAP-398;137208;;Bulk_upload;pastorim;battacar;Critical;In Progress;;29/05/2017 16:58;26/07/2017 13:03;3600;0;EMAP Sprint 30;EMAP Sprint 32;EMAP Sprint 33;EMAP Sprint 34;EMAP Sprint 35;;;;
Bug;EMAP-522;147822;;As Murillo, Francisco I would like to be able to see Puerto Rico and Keep seeing Mexico and LA;battacar;battacar;Critical;Closed;Fixed;21/07/2017 13:30;26/07/2017 11:18;;;EMAP Sprint 34;EMAP Sprint 35;;;;;;;
Story;EMAP-504;145934;;As a user I would like to be able to create a report and assign user when I creating it;;battacar;Critical;To Do;;12/07/2017 15:36;24/07/2017 17:13;54000;54000;EMAP Sprint 36;;;;;;;;
Bug;EMAP-479;142494;;As an user I would like to know if it is possible to avoid the pop apps when I open a report;;battacar;Critical;To Do;;19/06/2017 15:03;24/07/2017 11:58;7200;7200;EMAP Sprint 36;;;;;;;;
Story;EMAP-432;138390;;As admin/owner/grant permission user I would like to know from which environments is the request access email;pastorim;olivada;Critical;Done;Fixed;02/06/2017 10:48;24/07/2017 11:17;3600;0;EMAP Sprint 28;EMAP Sprint 29;EMAP Sprint 30;EMAP Sprint 31;EMAP Sprint 32;EMAP Sprint 33;EMAP Sprint 34;EMAP Sprint 35;
Story;EMAP-412;137838;;As a developer I need to have access to all employee countries;Casullop;battacar;Critical;To Do;;31/05/2017 12:17;24/07/2017 11:16;;;EMAP Sprint 28;EMAP Sprint 30;EMAP Sprint 33;EMAP Sprint 34;EMAP Sprint 35;;;;
Story;EMAP-404;137496;;As a user i would like to be able to upload any file into a Report Card.;;battacar;Critical;In Review;;30/05/2017 14:17;24/07/2017 11:16;194400;0;EMAP Sprint 30;EMAP Sprint 31;EMAP Sprint 32;EMAP Sprint 33;EMAP Sprint 34;EMAP Sprint 35;;;
Task;EMAP-500;145729;;Merge changes from production/test branch to development branch;olivada;olivada;Critical;Closed;Done;11/07/2017 11:23;24/07/2017 11:03;14400;0;EMAP Sprint 33;EMAP Sprint 34;;;;;;;
Bug;EMAP-464;140827;;As an Old user I am not able to enter to the portal (missing security);pastorim;battacar;Critical;Closed;Fixed;12/06/2017 17:01;22/06/2017 13:55;28800;0;EMAP Sprint 30;EMAP Sprint 31;;;;;;;
Story;EMAP-458;140281;;As user I would like to be able to click on the Report tittle to open the report;mazzola;battacar;Critical;Closed;Fixed;09/06/2017 16:08;22/06/2017 13:55;10800;0;EMAP Sprint 30;EMAP Sprint 31;;;;;;;
Bug;EMAP-435;138708;;In the information card, the owner list is showing nulls names values;pastorim;olivada;Critical;Closed;Fixed;05/06/2017 09:46;22/06/2017 13:51;1800;0;EMAP Sprint 29;EMAP Sprint 30;EMAP Sprint 31;;;;;;
Story;EMAP-425;138224;;As SFA user I don't want to be able to request new access;pastorim;olivada;Critical;Closed;Fixed;01/06/2017 18:35;16/06/2017 17:05;1800;0;EMAP Sprint 28;EMAP Sprint 29;EMAP Sprint 30;;;;;;
Bug;EMAP-460;140805;;The new SFA report notificaiton has references to BILA;pastorim;olivada;Critical;Closed;Fixed;12/06/2017 14:52;16/06/2017 17:05;1800;0;EMAP Sprint 30;;;;;;;;
Bug;EMAP-462;140825;;As a common  User I am not able to open the Reports .mth;mazzola;battacar;Critical;Closed;Fixed;12/06/2017 16:52;16/06/2017 17:05;18000;0;EMAP Sprint 30;;;;;;;;
Bug;EMAP-470;141100;;As Anthony diggle user I am seeing more Countries than I should be. ;pastorim;battacar;Critical;Closed;Fixed;13/06/2017 16:38;16/06/2017 17:04;14400;0;EMAP Sprint 30;;;;;;;;
Bug;EMAP-472;141110;;As an user when I go the Tree and select Executive Report there is only Latin America country. I am not able to access from other countries or just give access to 1 country if I want;;battacar;Critical;Closed;Won't Fix;13/06/2017 16:45;14/06/2017 15:22;;;EMAP Sprint 31;;;;;;;;
Bug;EMAP-471;141104;;As marcajea I am not able to get into the Portal, even when I have access (the portal is grey.;olivada;battacar;Critical;Closed;Fixed;13/06/2017 16:41;14/06/2017 14:28;7200;0;EMAP Sprint 30;;;;;;;;
Bug;EMAP-445;139306;;As a tester there is missing Dashboard in MyReports production when I compare with BILA production;mazzola;battacar;Critical;Closed;Done;06/06/2017 16:41;12/06/2017 14:49;;;Backend - Sprint 201722;;;;;;;;
Bug;EMAP-396;137205;;Download is not working in IPAD;olivada;olivada;Critical;Closed;Fixed;29/05/2017 16:10;09/06/2017 21:57;7200;0;EMAP Sprint 28;EMAP Sprint 29;;;;;;;
Task;EMAP-456;140258;;Deploy to production only the fixes to issues;olivada;olivada;Critical;Closed;Fixed;09/06/2017 13:05;09/06/2017 21:51;10800;0;EMAP Sprint 29;;;;;;;;
Story;EMAP-411;137751;;As a user I would like to have more countries with new owners;olivada;battacar;Critical;Closed;Fixed;31/05/2017 10:48;08/06/2017 09:03;3600;3600;EMAP Sprint 28;EMAP Sprint 29;;;;;;;
Bug;EMAP-444;139297;;Users has no access to GKAM reports in old BILA portal;olivada;olivada;Critical;Closed;Fixed;06/06/2017 15:03;07/06/2017 17:46;3600;0;EMAP Sprint 29;;;;;;;;
Bug;EMAP-443;139241;;As a user I see more Countires than I should be;olivada;battacar;Critical;Closed;Fixed;06/06/2017 11:52;06/06/2017 16:45;3600;0;Backend - Sprint 201722;;;;;;;;
Story;EMAP-406;137533;;As a User Rep i would like to see the Cards with the following Names, and descriptions;;battacar;Critical;Closed;Fixed;30/05/2017 15:51;05/06/2017 17:12;;;EMAP Sprint 29;;;;;;;;
Bug;EMAP-359;135594;;Missing traslations;pastorim;olivada;Critical;Closed;Fixed;22/05/2017 11:58;05/06/2017 15:10;7200;0;EMAP Sprint 27;EMAP Sprint 28;;;;;;;
Bug;EMAP-415;137906;;Is possible to request more than one time access to Executive Reports ;pastorim;olivada;Critical;Closed;Fixed;31/05/2017 19:10;05/06/2017 11:12;3600;3600;EMAP Sprint 28;;;;;;;;
Bug;EMAP-399;137209;;The application is failing when a new user request access;olivada;olivada;Critical;Closed;Fixed;29/05/2017 17:50;05/06/2017 10:46;1800;0;EMAP Sprint 28;;;;;;;;
Bug;EMAP-384;136239;;Is not possible edit dashboards languages for languages different of the user ;pastorim;olivada;Critical;Closed;Fixed;24/05/2017 16:06;05/06/2017 10:43;1800;0;EMAP Sprint 27;EMAP Sprint 28;;;;;;;
Bug;EMAP-418;137909;;The link redirect is not working for GKAM ;olivada;olivada;Critical;Closed;Fixed;31/05/2017 19:14;05/06/2017 10:22;3600;1800;EMAP Sprint 28;;;;;;;;
Bug;EMAP-378;135964;;As a user when I select the Admin option into the user dropbox it allways keep inside the box until I choose another option. ;;battacar;Critical;Closed;Fixed;23/05/2017 16:57;05/06/2017 10:21;1800;0;EMAP Sprint 27;EMAP Sprint 28;;;;;;;
Bug;EMAP-381;135974;;Is not possible to create new cards in dev (bila-it/myreports-it);;olivada;Critical;Closed;Fixed;23/05/2017 17:37;05/06/2017 10:19;10800;10800;EMAP Sprint 27;EMAP Sprint 28;;;;;;;
Bug;EMAP-373;135947;;As a tester I found that have access to different dashboard according with lenguage selected;pastorim;galliani;Critical;Closed;Fixed;23/05/2017 15:42;05/06/2017 10:18;7200;0;EMAP Sprint 27;EMAP Sprint 28;;;;;;;
Bug;EMAP-377;135963;;As tester: a User do not received the emails when he was assign as GRAN PERMISSION person;;battacar;Critical;Closed;Fixed;23/05/2017 16:54;05/06/2017 10:15;10800;10800;EMAP Sprint 27;EMAP Sprint 28;;;;;;;
Bug;EMAP-376;135961;;As Tester: When a new User I do not received the email with the Request result when it is approved or rejected.;;battacar;Critical;Closed;Won't Fix;23/05/2017 16:50;23/05/2017 17:21;;;EMAP Sprint 27;;;;;;;;
Story;EMAP-252;129593;;Sales Force: As a existing user I would like to have the change to filter by Rep and see only his reports;;;;;;;;;;;;;;;;;;
Bug;EMAP-353;135211;;Is not possible create new elements in empty information areas;olivada;olivada;Critical;Closed;Fixed;19/05/2017 14:39;22/05/2017 13:37;3600;0;EMAP Sprint 26;;;;;;;;
Bug;EMAP-340;134594;;"When some user request access to SFA like ""Local Admin"", when the permission is granted the user filter combobox is not displyed";mazzola;olivada;Critical;Closed;Done;17/05/2017 15:36;22/05/2017 13:20;;;EMAP Sprint 26;;;;;;;;
Story;EMAP-341;134595;;As user I want to be able to download executive reports;olivada;olivada;Critical;Closed;Fixed;17/05/2017 15:38;22/05/2017 13:15;1800;0;EMAP Sprint 26;;;;;;;;
Story;EMAP-91;108582;;Create migration script for 'SFA’ to new ABAC permission schema;olivada;mazzola;Critical;Closed;Fixed;09/02/2017 20:10;22/05/2017 12:53;14400;0;EMAP Sprint 20;EMAP Sprint 25;EMAP Sprint 26;;;;;;
Story;EMAP-240;129556;;Create the Admin option into the combobox below the user name;olivada;battacar;Critical;Closed;Fixed;26/Apr/17 11:57 AM;15/05/2017 16:38;36000;0;EMAP Sprint 25;;;;;;;;
Story;EMAP-239;129550;;Create the Personal Info Option into the combox below the User Name;pastorim;battacar;Critical;Closed;Fixed;26/Apr/17 11:50 AM;15/05/2017 16:31;18000;0;EMAP Sprint 25;;;;;;;;
Task;EMAP-323;132842;;Ensure that is possible grant access to users;pastorim;olivada;Critical;Closed;Fixed;10/05/2017 23:21;15/05/2017 16:26;7200;0;EMAP Sprint 25;;;;;;;;
Story;EMAP-293;129991;;As administrator I want include the creation and update date to access links;olivada;olivada;Critical;Closed;Fixed;27/Apr/17 3:17 PM;15/05/2017 16:24;14400;0;EMAP Sprint 25;;;;;;;;
Story;EMAP-238;129545;;As User I would like to have Personal options into a ComboBox below the name;pastorim;battacar;Critical;Closed;Fixed;26/Apr/17 11:48 AM;08/05/2017 11:21;10800;0;EMAP Sprint 24;;;;;;;;
Story;EMAP-296;130290;;As user I want to see the new lock and feel as default portal view;olivada;olivada;Critical;Closed;Fixed;28/Apr/17 1:51 PM;08/05/2017 11:20;36000;0;EMAP Sprint 24;;;;;;;;
Story;EMAP-198;126762;;As admin I would like to log all request access activity;pastorim;olivada;Critical;Closed;Fixed;17/Apr/17 6:22 PM;28/Apr/17 4:57 PM;14400;10800;EMAP Sprint 23;;;;;;;;
Story;EMAP-179;124450;;Build Search Report textfield ;mazzola;mazzola;Critical;Closed;Fixed;05/Apr/17 7:24 PM;24/Apr/17 11:32 AM;18000;28800;EMAP Sprint 21;EMAP Sprint 22;;;;;;;
Bug;EMAP-163;123153;;The Dashboard element does not include information about AccessLink (for example the description is not available) in carousel;;olivada;Critical;Closed;Fixed;03/Apr/17 11:57 AM;10/Apr/17 5:13 PM;;;EMAP Sprint 20;EMAP Sprint 21;;;;;;;
Story;EMAP-101;115912;;As PO I would like the front end implementation of the request access view;;olivada;Critical;Closed;Won't Fix;06/03/2017 10:42;10/Apr/17 5:08 PM;;;EMAP Sprint 16;EMAP Sprint 17;EMAP Sprint 18;EMAP Sprint 19;EMAP Sprint 20;EMAP Sprint 21;;;
Story;EMAP-100;115906;;As PO I would like the backend request access implementation using ABAC ;feandres;olivada;Critical;Closed;Done;06/03/2017 10:40;10/Apr/17 11:58 AM;28800;28800;EMAP Sprint 16;EMAP Sprint 17;EMAP Sprint 18;EMAP Sprint 19;EMAP Sprint 20;EMAP Sprint 21;;;
Story;EMAP-77;107871;;As PO I would like a migration script to insert the necessary data to show all AccessLinks in the tree.;olivada;olivada;Critical;Closed;Fixed;07/02/2017 10:33;07/Apr/17 5:17 PM;18000;18000;EMAP Sprint 20;;;;;;;;
Bug;EMAP-118;118673;;"If a user has creation over a group, the ""new"" icon is not displayed";perezbon;olivada;Critical;Closed;Fixed;16/03/2017 17:05;04/Apr/17 5:14 PM;10800;180;EMAP Sprint 20;;;;;;;;
Bug;EMAP-142;121815;;Edit Permissions. User with dashboardAccessRole .  Dashboard Tab is not available.   User GONZALTA ;;alfonsma;Critical;Closed;Won't Fix;28/03/2017 15:36;03/Apr/17 11:03 AM;;;;;;;;;;;
Bug;EMAP-141;121814;;User Migrated. Edit Permissions.gives an error with the user SCLAVIJR – localSFEAdminRole ;olivada;alfonsma;Critical;Closed;Fixed;28/03/2017 15:36;03/Apr/17 10:40 AM;;;EMAP Sprint 19;;;;;;;;
Bug;EMAP-122;121062;;The ower/grant permission/create permissions are not taken effect in the Animal Health area;olivada;alfonsma;Critical;Closed;Fixed;24/03/2017 20:16;03/Apr/17 10:38 AM;18000;18000;EMAP Sprint 19;;;;;;;;
Story;EMAP-57;105901;;As PO I would like the application deployed in DEV environment;perezbon;olivada;Critical;Closed;Fixed;30/Jan/17 11:37 AM;06/02/2017 16:43;14400;14400;EMAP Sprint 12;;;;;;;;
Bug;EMAP-43;103514;;NullPointerException when tree is reloaded and tries to get all permissions.;pastorim;pastorim;Critical;Closed;Fixed;18/Jan/17 12:38 PM;20/Jan/17 4:17 PM;28800;28800;EMAP Sprint 10;;;;;;;;
Bug;EMAP-35;102895;;The new user window has problems with the element disposition.;perezbon;olivada;Critical;Closed;Fixed;16/Jan/17 11:14 AM;20/Jan/17 4:17 PM;7200;7200;EMAP Sprint 10;;;;;;;;
Story;EMAP-1;91620;;"As a product owner I would like that at least one developer's computer has the application running. This could be using local database or the ""dev"" environment database.";;olivada;Critical;Closed;Fixed;09/11/2016 11:24;21/11/2016 13:58;;;EMAP Sprint 1;EMAP Sprint 2;;;;;;;
Task;EMAP-548;153978;;As Operational Rol I would like to know which users has access to the Dashboard :Regional Marketing Report;olivada;battacar;Major;To Do;;02/Aug/17 5:26 PM;03/Aug/17 8:35 AM;7200;7200;EMAP Sprint 35;;;;;;;;
Bug;EMAP-478;142492;;As an User when I open myreports into an extension of my pc into a Monitor there is a grey space at the bottom;pastorim;battacar;Major;In Progress;;19/06/2017 14:58;02/Aug/17 6:35 PM;14400;14400;EMAP Sprint 32;EMAP Sprint 33;EMAP Sprint 34;EMAP Sprint 35;;;;;
Story;EMAP-547;153972;;As a I user I would like to know all the NEW features;;battacar;Major;To Do;;02/Aug/17 5:10 PM;02/Aug/17 5:10 PM;;;EMAP Sprint 36;;;;;;;;
Story;EMAP-390;136267;;Improve Card info Window;pastorim;olivada;Major;In Progress;;24/05/2017 17:23;31/07/2017 17:46;18000;0;EMAP Sprint 28;EMAP Sprint 32;EMAP Sprint 33;EMAP Sprint 34;EMAP Sprint 35;;;;
Bug;EMAP-440;138782;;As a user when I scroll into the carousel the first card is overloaded;;battacar;Major;In Progress;;05/06/2017 11:10;31/07/2017 11:13;14400;0;EMAP Sprint 29;EMAP Sprint 30;EMAP Sprint 32;EMAP Sprint 33;EMAP Sprint 35;;;;
Bug;EMAP-496;144011;;As a User, after requesting access to some reports, I'm not able to select again my profile from Personal info combobox. It only works if I select Admin option.;pastorim;pastorim;Major;Done;Fixed;22/06/2017 17:15;31/07/2017 10:48;14400;0;EMAP Sprint 31;EMAP Sprint 32;EMAP Sprint 33;EMAP Sprint 34;EMAP Sprint 35;;;;
Task;EMAP-538;148827;;As a user I would like to see more cards in the carrousel (less space between cards);;battacar;Major;To Do;;27/07/2017 09:25;28/07/2017 16:18;;;EMAP Sprint 36;;;;;;;;
Story;EMAP-424;138213;;As a user I would like to have a New Area Called 'Market research';;battacar;Major;In Progress;;01/06/2017 15:50;28/07/2017 16:02;21600;0;EMAP Sprint 30;EMAP Sprint 32;EMAP Sprint 33;EMAP Sprint 35;;;;;
Task;EMAP-543;148951;;As a user I would like to re order the information areas ;;battacar;Major;To Do;;27/07/2017 16:39;27/07/2017 16:39;;;EMAP Sprint 36;;;;;;;;
Bug;EMAP-318;131972;;As a user I would like to scroll down with the mouse;;battacar;Major;In Progress;;08/05/2017 15:58;27/07/2017 11:04;21600;0;EMAP Sprint 32;EMAP Sprint 33;EMAP Sprint 35;;;;;;
Task;EMAP-539;148840;;As a user I would like to have the banner with the new look and feel;;battacar;Major;To Do;;27/07/2017 09:57;27/07/2017 09:59;;;EMAP Sprint 36;;;;;;;;
Bug;EMAP-533;148811;;As a user I do not want to see the doble scroll;;battacar;Major;To Do;;27/07/2017 09:08;27/07/2017 09:08;;;EMAP Sprint 36;;;;;;;;
Bug;EMAP-446;139602;;The tree is full reloaded when some permission is updated;;olivada;Major;To Do;;07/06/2017 17:37;26/07/2017 13:20;28800;28800;EMAP Sprint 37;;;;;;;;
Story;EMAP-475;141686;;As a NEW Owner of New Area I am not able to be able to create it if i do not have access to any Region.;;battacar;Major;To Do;;15/06/2017 15:34;26/07/2017 13:19;;;EMAP Sprint 37;;;;;;;;
Story;EMAP-467;141022;;As a user I would like to be able to create the same report for more than 1 country;;battacar;Major;To Do;;13/06/2017 11:23;26/07/2017 13:18;18000;18000;EMAP Sprint 37;;;;;;;;
Story;EMAP-246;129579;;As user I would like to have an image for each report;;battacar;Major;To Do;;26/Apr/17 1:44 PM;26/07/2017 11:15;;;EMAP Sprint 27;EMAP Sprint 32;EMAP Sprint 36;;;;;;
Bug;EMAP-525;148172;;When creating an access request, Local Admin plus button is not displayed after being clicked for another region;mazzola;mazzola;Major;In Progress;;24/07/2017 12:24;25/07/2017 11:52;10800;0;EMAP Sprint 35;;;;;;;;
Story;EMAP-121;121061;;As admin user I dont want to able to define user region or language on new/edit user view;olivada;olivada;Major;Done;Fixed;24/03/2017 19:59;25/07/2017 09:40;7200;0;EMAP Sprint 20;EMAP Sprint 32;EMAP Sprint 33;EMAP Sprint 34;EMAP Sprint 35;;;;
Bug;EMAP-437;138723;;As user I would like to see a different name in browser tab;olivada;olivada;Major;Done;Fixed;05/06/2017 09:57;25/07/2017 09:37;7200;0;EMAP Sprint 32;EMAP Sprint 33;EMAP Sprint 34;EMAP Sprint 35;;;;;
Bug;EMAP-524;148171;;When creating an access request, button 'Send Request' keeps disabled after clicking 'Revise' button in Request Resume window;mazzola;mazzola;Major;In Progress;;24/07/2017 12:24;24/07/2017 18:12;3600;0;EMAP Sprint 35;;;;;;;;
Bug;EMAP-220;97423;;If the mth dashboard url includes spaces, the application is not open ;olivada;olivada;Major;To Do;;14/Dec/16 10:03 AM;24/07/2017 15:51;3600;3600;EMAP Sprint 33;EMAP Sprint 36;;;;;;;
Story;EMAP-461;140817;;As user I would like to grant access to the report during the new/edit stage;;olivada;Major;Closed;Duplicate;12/06/2017 16:00;24/07/2017 15:45;36000;36000;EMAP Sprint 34;EMAP Sprint 35;;;;;;;
Story;EMAP-466;141005;;As a Owner I would like to make sure that the users that do not enter to my report will be taken the access automatically taking into account the stadistic.;;battacar;Major;Closed;Duplicate;13/06/2017 11:03;24/07/2017 14:36;;;EMAP Sprint 35;;;;;;;;
Story;EMAP-441;138952;;As user I would like add links in bulk;;olivada;Major;In Progress;;05/06/2017 15:45;24/07/2017 13:56;28800;0;EMAP Sprint 29;EMAP Sprint 30;EMAP Sprint 32;EMAP Sprint 33;EMAP Sprint 34;EMAP Sprint 35;;;
Story;EMAP-286;129652;;As user I would like to be able to upload images for each report;;battacar;Major;To Do;;26/Apr/17 5:02 PM;24/07/2017 13:52;28800;28800;EMAP Sprint 32;EMAP Sprint 36;;;;;;;
Task;EMAP-495;143995;;As user when the developers are doing a release I would like to see a nice message;olivada;battacar;Major;Done;Fixed;22/06/2017 15:13;24/07/2017 11:17;14400;0;EMAP Sprint 32;EMAP Sprint 33;EMAP Sprint 34;EMAP Sprint 35;;;;;
Bug;EMAP-439;138759;;Inactive users are showed in admin user table;olivada;olivada;Major;Done;Fixed;05/06/2017 10:52;24/07/2017 11:17;1800;0;EMAP Sprint 29;EMAP Sprint 30;EMAP Sprint 31;EMAP Sprint 32;EMAP Sprint 33;EMAP Sprint 34;EMAP Sprint 35;;
Bug;EMAP-469;141091;;As an Old user I would like to have the BIla Message Page also in portugues;olivada;battacar;Major;Done;Fixed;13/06/2017 16:14;24/07/2017 11:16;1800;0;EMAP Sprint 30;EMAP Sprint 31;EMAP Sprint 32;EMAP Sprint 33;EMAP Sprint 34;EMAP Sprint 35;;;
Story;EMAP-370;135918;;En el dropdown del nombre - agregar una opción que permita crear areas de informacion.;pastorim;Casullop;Major;Done;Fixed;23/05/2017 13:31;24/07/2017 11:16;7200;0;EMAP Sprint 29;EMAP Sprint 30;EMAP Sprint 31;EMAP Sprint 32;EMAP Sprint 33;EMAP Sprint 34;EMAP Sprint 35;;
Story;EMAP-436;138719;;As spotfire secutiry checker I would like the isid/url view updated to ABAC security schema;olivada;olivada;Major;Done;Fixed;05/06/2017 09:55;24/07/2017 11:16;28800;0;EMAP Sprint 30;EMAP Sprint 34;EMAP Sprint 35;;;;;;
Bug;EMAP-492;143721;;As an user I am getting blank screen when logging into MyReports;pastorim;mazzola;Major;Closed;Fixed;21/06/2017 16:22;23/06/2017 09:42;7200;0;EMAP Sprint 31;;;;;;;;
Bug;EMAP-453;140236;;When the user is requesting access the bottons are overlapping;pastorim;olivada;Major;Closed;Fixed;09/06/2017 11:49;22/06/2017 15:22;1800;1800;EMAP Sprint 29;EMAP Sprint 30;EMAP Sprint 31;;;;;;
Task;EMAP-161;123130;;ABAC functionality manual testing for version 3.0;battacar;olivada;Major;Closed;Fixed;03/Apr/17 11:34 AM;14/06/2017 14:43;57600;0;EMAP Sprint 20;EMAP Sprint 21;EMAP Sprint 26;EMAP Sprint 27;EMAP Sprint 28;EMAP Sprint 30;;;
Bug;EMAP-449;139750;;As an Admins User i am not able to find the Yap, Kong Weng <kong.weng.yap@merck.com>;battacar;battacar;Major;Closed;Fixed;08/06/2017 09:12;08/06/2017 17:18;;;EMAP Sprint 29;;;;;;;;
Bug;EMAP-225;113610;;Missing migration from BILA_ACCESS_LINK_HIERARCHY  to MY_REPORTS_ACCESS_LINK;olivada;olivada;Major;To Do;;22/02/2017 13:54;05/06/2017 16:04;;;;;;;;;;;
Bug;EMAP-374;135950;;As a tester I requested access to a report and the applet to confirm access has issues;pastorim;galliani;Major;Closed;Fixed;23/05/2017 16:03;05/06/2017 10:48;1800;0;EMAP Sprint 27;EMAP Sprint 28;;;;;;;
Bug;EMAP-380;135969;;As a User when I request access into Crome I have 2 scroll bars;pastorim;battacar;Major;Closed;Fixed;23/05/2017 17:26;05/06/2017 10:20;1800;0;EMAP Sprint 27;EMAP Sprint 28;;;;;;;
Story;EMAP-358;135567;;Modificar el look and feel de la pantalla de login para que refleje el nuevo branding;olivada;Casullop;Major;Closed;Fixed;22/05/2017 11:18;05/06/2017 10:10;10800;0;EMAP Sprint 27;EMAP Sprint 28;;;;;;;
Story;EMAP-231;128808;;As admin/grant permission user I would like the access request email in my defined language;pastorim;olivada;Major;Closed;Fixed;24/Apr/17 11:43 AM;05/06/2017 10:09;3600;0;EMAP Sprint 26;EMAP Sprint 27;EMAP Sprint 28;;;;;;
